driverId,driver_name,skill_score,adjusted_talent_score,talent_score,uncertainty_penalty,mean_residual,std_residual,bad_rate,elite_rate,peak_residual,speed_score,peak_score,elite_score,consistency_score,error_score,confidence,confidence_label,races
813,Pastor Maldonado,-14.487782805429863,14.487782805429863,22.56470588235294,8.076923076923077,0.9762693,10.441732,0.07954545454545454,0.07954545454545454,-0.7633068859577178,8.235294117647058,44.70588235294118,50.588235294117645,5.88235294117647,41.17647058823529,0.4230769230769231,LOW,88
820,Max Chilton,-14.079144385026737,14.079144385026737,24.988235294117647,10.90909090909091,1.0353063,2.1153734,0.35294117647058826,0.029411764705882353,-0.5674823969602585,18.823529411764707,35.294117647058826,35.294117647058826,35.294117647058826,7.0588235294117645,0.22077922077922077,LOW,34
828,Marcus Ericsson,-14.033986928104575,14.033986928104575,21.811764705882354,7.777777777777779,0.8851366,5.223619,0.10416666666666667,0.052083333333333336,-0.7767496109008789,11.76470588235294,45.88235294117647,24.705882352941178,12.941176470588237,31.76470588235294,0.4444444444444444,LOW,96
15,Jarno Trulli,-13.989615511008875,13.989615511008875,18.68235294117647,4.692737430167598,1.4093955,11.394432,0.1722689075630252,0.08403361344537816,-0.9012213230133056,2.3529411764705883,62.35294117647059,47.05882352941176,3.5294117647058822,9.411764705882353,0.664804469273743,MEDIUM,238
33,Tiago Monteiro,-12.030769230769232,12.030769230769232,22.8,10.769230769230768,1.0292797,1.3613938,0.4166666666666667,0.027777777777777776,-0.3249964788556099,17.647058823529413,18.823529411764707,31.76470588235294,45.88235294117647,4.705882352941177,0.23076923076923078,LOW,36
75,Shinji Nakano,-9.254901960784313,9.254901960784313,20.235294117647058,10.980392156862745,1.3276993,4.0384946,0.24242424242424243,0.030303030303030304,-0.5261718571186066,12.941176470588237,32.94117647058823,36.470588235294116,18.823529411764707,15.294117647058824,0.21568627450980393,LOW,33
836,Pascal Wehrlein,-7.74642188085425,7.74642188085425,18.44705882352941,10.70063694267516,1.1077094,3.3990905,0.21621621621621623,0.02702702702702703,-0.24536067247390747,15.294117647058824,15.294117647058824,30.58823529411765,23.52941176470588,16.470588235294116,0.2356687898089172,LOW,37
39,Narain Karthikeyan,-7.4559886605244525,7.4559886605244525,17.576470588235296,10.120481927710843,1.3244221,1.948276,0.5652173913043478,0.06521739130434782,-0.2036711350083351,9.411764705882353,9.411764705882353,45.88235294117647,40.0,1.1764705882352942,0.27710843373493976,LOW,46
27,Christijan Albers,-6.022663298448213,6.022663298448213,16.32941176470588,10.306748466257668,1.8982085,2.874041,0.4883720930232558,0.06976744186046512,-0.4295675992965698,4.705882352941177,21.176470588235293,51.76470588235295,28.235294117647058,2.3529411764705883,0.26380368098159507,LOW,43
10,Timo Glock,-1.4823529411764707,1.4823529411764707,9.48235294117647,8.0,1.1110245,3.4186516,0.3111111111111111,0.03333333333333333,-0.36718604564666746,7.0588235294117645,4.705882352941177,16.470588235294116,20.0,3.5294117647058822,0.42857142857142855,LOW,90
